Price,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Date,,,,,,,
2016-01-04,10283.4404296875,0.0,10485.91015625,10248.580078125,10485.8095703125,0.0,119844300
2016-01-05,10310.099609375,0.0,10384.259765625,10173.51953125,10373.26953125,0.0,84894800
2016-01-06,10214.01953125,0.0,10288.6796875,10094.1796875,10288.6796875,0.0,90465700
2016-01-07,9979.849609375,0.0,10145.4697265625,9810.4697265625,10144.169921875,0.0,128029000
2016-01-08,9849.33984375,0.0,10122.4599609375,9849.33984375,10010.4697265625,0.0,98631100
2016-01-11,9825.0703125,0.0,9978.6904296875,9813.01953125,9814.0400390625,0.0,92547600
2016-01-12,9985.4296875,0.0,10092.669921875,9832.8203125,9832.8203125,0.0,99681300
2016-01-13,9960.9599609375,0.0,10164.0498046875,9929.0703125,10112.349609375,0.0,93643400
2016-01-14,9794.2001953125,0.0,9884.26953125,9614.76953125,9836.849609375,0.0,137020800
2016-01-15,9545.26953125,0.0,9832.919921875,9459.08984375,9778.3603515625,0.0,142005800
2016-01-18,9521.849609375,0.0,9657.9404296875,9457.9501953125,9542.599609375,0.0,91275200
2016-01-19,9664.2099609375,0.0,9756.1396484375,9626.650390625,9722.6396484375,0.0,102829600
2016-01-20,9391.6396484375,0.0,9490.4501953125,9314.5703125,9430.1298828125,0.0,138206200
2016-01-21,9574.16015625,0.0,9656.330078125,9348.740234375,9400.6904296875,0.0,147730300
2016-01-22,9764.8798828125,0.0,9837.6201171875,9704.900390625,9762.5498046875,0.0,127518300
2016-01-25,9736.150390625,0.0,9800.490234375,9681.7001953125,9790.4404296875,0.0,94406900
2016-01-26,9822.75,0.0,9867.1796875,9563.6396484375,9599.5595703125,0.0,113632600
2016-01-27,9880.8203125,0.0,9880.8203125,9728.6396484375,9781.419921875,0.0,91926100
2016-01-28,9639.58984375,0.0,9905.080078125,9594.7998046875,9826.2802734375,0.0,117743700
2016-01-29,9798.1103515625,0.0,9798.3798828125,9656.3603515625,9772.580078125,0.0,117174600
2016-02-01,9757.8798828125,0.0,9827.099609375,9638.580078125,9823.73046875,0.0,92729400
2016-02-02,9581.0400390625,0.0,9729.23046875,9536.9697265625,9721.1796875,0.0,107857900
2016-02-03,9434.8203125,0.0,9577.2001953125,9350.98046875,9541.5302734375,0.0,125091400
2016-02-04,9393.3603515625,0.0,9539.919921875,9270.08984375,9522.669921875,0.0,133766200
2016-02-05,9286.23046875,0.0,9469.7099609375,9250.83984375,9375.2900390625,0.0,134856000
2016-02-08,8979.3603515625,0.0,9337.51953125,8937.98046875,9329.8701171875,0.0,154467600
2016-02-09,8879.400390625,0.0,9041.900390625,8772.8798828125,8980.7099609375,0.0,159802700
2016-02-10,9017.2900390625,0.0,9128.5400390625,8875.4501953125,8937.98046875,0.0,136822300
2016-02-11,8752.8701171875,0.0,8899.5703125,8699.2900390625,8887.8896484375,0.0,153636300
2016-02-12,8967.509765625,0.0,8967.509765625,8815.76953125,8854.400390625,0.0,160471700
2016-02-15,9206.83984375,0.0,9249.4599609375,9134.759765625,9163.5400390625,0.0,127182100
2016-02-16,9135.1103515625,0.0,9269.0595703125,9079.1904296875,9242.75,0.0,106014200
2016-02-17,9377.2099609375,0.0,9394.6201171875,9156.1396484375,9174.2802734375,0.0,128613000
2016-02-18,9463.6396484375,0.0,9551.8701171875,9349.9501953125,9428.009765625,0.0,123801400
2016-02-19,9388.0498046875,0.0,9474.01953125,9319.099609375,9420.509765625,0.0,109839900
2016-02-22,9573.58984375,0.0,9581.4501953125,9477.6904296875,9481.3701171875,0.0,93879900
2016-02-23,9416.76953125,0.0,9535.1201171875,9405.2197265625,9503.1201171875,0.0,89938900
2016-02-24,9167.7998046875,0.0,9415.330078125,9125.1904296875,9396.48046875,0.0,102284500
2016-02-25,9331.48046875,0.0,9391.3095703125,9199.08984375,9277.01953125,0.0,98941300
2016-02-26,9513.2998046875,0.0,9576.8798828125,9436.330078125,9454.51953125,0.0,98620700
2016-02-29,9495.400390625,0.0,9498.5703125,9332.419921875,9424.9296875,0.0,93792500
2016-03-01,9717.16015625,0.0,9719.01953125,9471.08984375,9482.66015625,0.0,99543300
2016-03-02,9776.6201171875,0.0,9837.1103515625,9695.98046875,9780.83984375,0.0,106449600
2016-03-03,9751.919921875,0.0,9808.51953125,9709.6796875,9807.0595703125,0.0,85246700
2016-03-04,9824.169921875,0.0,9899.1103515625,9742.759765625,9800.8603515625,0.0,93446800
2016-03-07,9778.9296875,0.0,9803.73046875,9690.0,9764.080078125,0.0,78146900
2016-03-08,9692.8203125,0.0,9785.0498046875,9617.6904296875,9688.4697265625,0.0,95752700
2016-03-09,9723.08984375,0.0,9838.9501953125,9679.1904296875,9700.16015625,0.0,100899200
2016-03-10,9498.150390625,0.0,9995.83984375,9498.150390625,9697.6396484375,0.0,177504400
2016-03-11,9831.1298828125,0.0,9833.900390625,9642.7900390625,9672.0498046875,0.0,118955200
2016-03-14,9990.259765625,0.0,10039.6103515625,9936.0595703125,9948.2099609375,0.0,91438200
2016-03-15,9933.849609375,0.0,9973.580078125,9890.1201171875,9941.4599609375,0.0,77982800
2016-03-16,9983.41015625,0.0,10021.7001953125,9917.919921875,9971.0400390625,0.0,93635200
2016-03-17,9892.2001953125,0.0,10055.2900390625,9753.0400390625,10051.6904296875,0.0,114653200
2016-03-18,9950.7998046875,0.0,9961.48046875,9822.51953125,9905.669921875,0.0,209129900
2016-03-21,9948.6396484375,0.0,10095.4599609375,9863.830078125,9893.259765625,0.0,78954200
2016-03-22,9990.0,0.0,9990.0,9762.5703125,9836.2802734375,0.0,81627700
